arrived_at,num_prefill_tokens,num_decode_tokens
82.443,6453,3
82.443,3706,300
82.443,6187,3
82.443,6679,33
82.443,6169,3
82.443,23987,645
82.443,4531,521
82.443,6167,26
82.443,25075,284
85.496,7904,510
85.496,89831,556
85.496,6296,165
85.496,6177,44
85.496,6805,196
85.496,7168,26
85.496,20481,362
85.496,1368,427
85.496,10086,421
85.496,18054,428
85.496,6166,3
85.496,6251,3
85.496,75081,456
85.496,7056,3
85.496,7353,44
88.549,891,78
88.549,11399,445
88.549,7757,328
88.549,14782,409
88.549,6311,27
88.549,1032,183
88.549,3155,20
88.549,7010,27
88.549,6689,3
88.549,7217,25
88.549,6857,3
88.549,19661,445
88.549,1306,111
88.549,2512,549
88.549,16704,445
88.549,1756,431
88.549,2958,16
88.549,6167,3
88.549,903,28
88.549,1884,312
88.549,17871,881
91.602,3951,297
91.602,1900,654
91.602,3135,21
91.602,6624,27
91.602,27288,268
91.602,9404,555
91.602,7005,3
91.602,7192,3
91.602,12432,1644
91.602,5234,534
91.602,7364,3
91.602,6587,3
91.602,3130,15
91.602,7023,3
91.602,54999,644
91.602,6272,3
91.602,6167,3
91.602,6172,3
91.602,39379,243
94.654,901,171
94.654,6201,30
94.654,6785,28
94.654,6845,33
94.654,2779,415
94.654,9173,531
94.654,36032,632
97.707,13881,775
97.707,8759,449
97.707,7726,347
97.707,6169,28
97.707,6619,3
97.707,2996,17
97.707,6168,26
97.707,6565,25
97.707,13741,304
97.707,6873,3
97.707,895,94
97.707,2966,22
97.707,6167,26
97.707,4021,19
97.707,7613,435
97.707,3129,398
97.707,24114,2000
100.764,4689,446
100.764,3353,20
100.764,6624,3
100.764,7294,3
100.764,6174,32
100.764,19060,247
100.764,898,418
100.764,6654,3
100.764,7124,3
100.764,6179,36
100.764,6554,20
100.764,50458,621
100.764,3023,673
100.764,3098,21
100.764,6176,33
100.764,913,275
100.764,14414,385
100.764,17176,595
103.816,67085,358
103.816,4332,29
103.816,6533,3
103.816,10267,269
103.816,13619,510
103.816,7277,3
103.816,6179,3
103.816,3170,22
103.816,8651,831
103.816,24479,306
103.816,6651,38
103.816,69267,430
103.816,3374,617
103.816,977,140
103.816,6439,3
